Success,Time,Generations,Distance,Angle
False,1.7694,0,0.4713197,0.06526998
False,1.731236,0,0.1997761,0.4058209
False,2.875915,0,0.1556686,0.2675899
False,2.248017,0,0.2619563,0.1876431
False,1.810222,0,0.301174,0.2124149
False,3.173697,0,0.7269716,0.1884515
False,1.980549,0,0.1995263,0.1601652
False,2.579939,0,0.1351778,0.4713328
False,1.184948,0,0.3276861,0.1548313
False,0.7880564,0,0.3285982,0.05496323
False,4.186712,0,0.02903724,0.2697213
False,1.505376,0,0.186506,0.3065554
False,3.577906,0,3.157267,0.4750124
False,1.945219,0,0.1499107,0.1583865
False,1.185894,0,0.3221766,0.1735122
False,2.601522,0,0.7946556,0.08599064
False,1.494344,0,0.3547128,0.2612648
False,1.377077,0,0.1439625,0.2065414
False,1.164415,0,0.5204018,0.2464554
False,1.071966,0,0.2283558,0.1451241
False,1.290989,0,0.2389298,0.2064418
False,0.7127885,0,0.3436682,0.3287145
False,1.334098,0,0.4077868,0.2933935
False,4.059243,0,0.4488797,0.2372568
False,1.988643,0,0.7866725,0.1747775
False,3.123361,0,0.3233894,0.4529179
False,1.417336,0,0.6385092,0.3548011
False,1.46296,0,0.3289732,0.05507124
False,0.8393208,0,0.2271291,0.3051784
False,3.906966,0,0.3571134,0.2267377
False,2.262948,0,0.2388819,0.290632
False,3.042665,0,2.94099,0.4389912
False,2.538611,0,0.2967612,0.4167516
False,1.679682,0,0.5183204,0.4107707
False,1.974612,0,0.7626598,0.1633207
False,1.702829,0,0.6158705,0.2017264
False,4.212711,0,0.4740856,0.3349449
False,2.286002,0,0.4178733,0.1263295
False,2.125825,0,0.2625,0.1819266
False,1.889034,0,0.2279341,0.2737476
False,1.943704,0,0.211613,0.2947655
False,3.590809,0,0.2152856,0.4177979
False,2.256514,0,0.195368,0.2124893
False,2.493363,0,0.7601759,0.0983713
False,0.9307497,0,0.3055055,0.2259682
False,2.013502,0,0.6567784,0.415177
False,0.6681819,0,0.4897056,0.2453006
False,2.73552,0,0.2922426,0.4299266
False,1.216928,0,0.2096006,0.2048426
False,1.415652,0,0.4467553,0.4565099
False,0.9035465,0,0.5358145,0.2721404
False,1.953894,0,0.2284062,0.08335563
False,2.241155,0,0.3599116,0.1925602
False,1.243549,0,0.7858671,0.3492027
False,1.435058,0,0.4493878,0.1033331
False,1.439459,0,0.3117934,0.1665721
False,2.075502,0,0.3126674,0.3524048
False,1.855774,0,0.7099414,0.4475497
False,1.844058,0,0.3092825,0.4788587
False,1.574043,0,2.900562,0.1430892
False,1.914886,0,0.5402368,0.2008645
False,1.311357,0,0.254556,0.2588184
False,1.331023,0,0.3766471,0.07420362
False,1.567549,0,1.357899,0.202557
False,1.024271,0,0.06357572,0.3087385
False,0.7045173,0,0.3227208,0.4750829
False,1.984568,0,0.2145946,0.4018858
False,2.244361,0,0.5387749,0.1785653
False,1.86127,0,0.2343928,0.2558176
False,1.449755,0,0.383891,0.4967448
False,2.178286,0,1.953914,0.4120324
False,3.508905,0,0.5695546,0.03946766
False,2.396448,0,0.4014535,0.3925963
False,1.729203,0,0.4304117,0.1494649
False,1.40287,0,0.3802465,0.1446737
False,2.085035,0,0.1182725,0.2547917
False,1.418856,0,1.83695,0.3414491
False,1.118754,0,0.3930709,0.4967012
False,1.959562,0,0.3733906,0.1684154
False,0.9185736,0,0.6360676,0.3483469
False,1.9871,0,0.4357587,0.1317468
False,0.7376856,0,0.234236,0.3873474
False,1.104366,0,0.2994623,0.1055232
False,0.7173688,0,0.2155408,0.2622151
False,2.440257,0,0.143573,0.1525077
False,0.9810478,0,0.3777214,0.4955655
False,1.231259,0,0.3971632,0.4979245
False,1.881468,0,0.5751213,0.1095508
False,1.599498,0,0.2846006,0.1033933
False,1.313179,0,0.621274,0.4677105
False,1.844122,0,0.3858118,0.1355559
False,3.479877,0,0.9796357,0.2707259
False,2.449028,0,0.2478752,0.05074949
False,0.5526301,0,0.2715849,0.1603447
False,2.195098,0,0.2474121,0.1227182
False,1.237313,0,0.8555525,0.3213876
False,1.7146,0,0.7676477,0.4717194
False,1.760155,0,0.4459403,0.145155
False,2.90609,0,1.140535,0.4322217
False,1.679974,0,0.2506646,0.1587787
False,1.082934,0,0.1008889,0.259834
False,1.339565,0,0.3168157,0.2262528
False,1.528487,0,0.3771335,0.4080985
False,1.626734,0,0.8260011,0.4637697
False,1.345074,0,0.4373557,0.3022409
False,2.13208,0,0.3969629,0.2372907
False,1.637866,0,0.3793401,0.3731463
False,1.008759,0,0.4792298,0.1767023
False,1.98669,0,0.273172,0.3425967
False,1.352461,0,2.992165,0.4198521
False,3.45599,0,0.590078,0.3544006
False,2.683212,0,0.297929,0.3268566
False,1.577216,0,0.2973085,0.1074225
False,1.456698,0,0.2296918,0.1717096
False,2.059285,0,0.7135354,0.3812322
