Success,Time,Generations,Distance,Angle
True,1.512053,61,6.679976E-06,0
True,2.352322,12,5.52365E-06,0
True,0.7356822,4,7.53828E-06,0
True,1.960471,2,1.986832E-05,0
True,2.498761,18,5.23139E-06,0
True,2.846387,100,2.673532E-05,0
True,2.6539,22,2.43705E-05,0
True,1.563089,6,5.898621E-06,0
True,1.308586,8,1.720056E-05,0
True,2.208401,2,2.852473E-06,0
True,4.636297,2,8.148633E-06,0
True,3.049892,100,4.914749E-05,0
False,2.135545,100,0.0009138244,0
True,3.14718,4,1.245723E-05,0
True,1.771725,6,5.323602E-05,0
True,2.64383,7,6.947417E-05,0
True,2.702201,15,3.288563E-05,0
True,1.552887,16,3.539051E-05,0
True,2.597299,9,7.59819E-06,0
True,2.273775,16,5.385424E-05,0
True,3.310971,58,2.286499E-05,0
True,2.170458,4,1.236908E-05,0
True,3.441745,6,8.190815E-06,0
True,2.187873,31,2.272149E-05,0
True,1.505805,14,5.801951E-05,0
True,3.159362,2,6.17196E-06,0
True,0.751717,3,1.06113E-05,0
True,2.903458,2,1.311695E-05,0
True,1.887813,71,4.398696E-06,0
False,2.356773,100,0.0002086517,0
False,2.899019,100,8.985455E-05,0
True,3.017081,4,7.3278E-05,0
True,0.7459732,2,2.139068E-05,0
True,2.954562,13,8.276146E-06,0
True,2.376121,18,2.541172E-05,0
True,2.411334,2,1.111335E-05,0
True,3.939541,2,1.545232E-05,0
True,3.186436,68,5.531245E-05,0
True,4.370681,2,7.766293E-05,0
True,3.064528,2,3.218055E-05,0
True,3.509902,50,7.17834E-06,0
True,1.324755,8,2.085558E-05,0
True,2.552241,4,1.66126E-05,0
True,5.9151,4,3.473519E-05,0
True,3.605367,2,6.120732E-06,0
True,2.002174,14,1.234439E-05,0
True,2.218403,10,5.029799E-06,0
True,1.304245,3,1.321517E-05,0
True,2.303098,47,4.137855E-05,0
True,1.797576,18,6.117192E-05,0
True,1.544631,100,2.647473E-05,0
True,1.916124,2,9.674515E-06,0
False,1.056794,100,0.003489634,0
True,1.009459,2,5.878409E-06,0
True,0.9023069,11,1.958273E-05,0
True,0.7223746,3,2.507339E-06,0
True,1.818671,3,1.562006E-05,0
True,1.437563,6,3.988106E-05,0
True,1.738547,8,1.535534E-05,0
True,2.90668,4,6.84197E-06,0
True,1.56581,10,1.873056E-05,0
True,1.733066,2,1.491606E-05,0
True,1.231021,2,9.276903E-06,0
True,0.7052378,2,1.52667E-05,0
True,2.074866,4,6.855004E-06,0
True,2.240741,20,2.518945E-05,0
True,2.091698,7,7.066922E-06,0
True,1.663405,30,1.961708E-05,0
True,2.327378,3,8.994773E-06,0
True,2.570092,2,8.183872E-06,0
True,2.323837,12,4.825124E-06,0
True,1.37314,4,9.522996E-06,0
True,3.039647,58,5.077396E-05,0
True,2.515975,16,4.092913E-06,0
True,2.424728,7,9.90155E-06,0
True,1.910476,29,9.193232E-06,0
True,2.04476,2,8.757827E-06,0
True,2.336835,78,1.29408E-05,0
True,3.426245,8,2.856674E-06,0
True,2.774282,2,9.275563E-06,0
True,3.163015,2,2.243424E-05,0
True,1.878976,7,2.190793E-05,0
True,3.229824,2,5.222894E-06,0
True,1.424618,10,2.589752E-05,0
True,1.730151,33,1.239375E-05,0
True,1.101291,28,2.053066E-05,0
True,1.335383,10,1.497916E-05,0
True,2.635334,4,7.49681E-06,0
True,3.674108,2,5.726391E-06,0
True,2.415669,17,6.395289E-06,0
True,3.050051,2,1.176086E-05,0
True,1.49863,16,2.314626E-05,0
True,1.455884,4,1.527008E-05,0
True,0.7491575,2,8.468593E-06,0
True,1.063905,4,4.260377E-06,0
True,1.855081,8,1.061156E-05,0
True,1.9181,11,1.450048E-05,0
True,1.40064,6,6.651195E-06,0
True,2.021763,2,1.381285E-05,0
True,1.435982,13,1.468565E-05,0
False,1.661249,100,0.00157023,0
True,1.633383,2,6.98189E-06,0
True,3.352217,4,6.382076E-05,0
True,2.920019,2,1.28746E-05,0
True,1.721165,2,9.644172E-06,0
True,2.211089,8,8.222849E-06,0
True,1.818908,2,5.351571E-06,0
True,3.950176,6,6.689543E-06,0
True,3.472279,2,1.924676E-05,0
True,3.247984,2,1.124555E-05,0
True,2.137856,2,9.788419E-06,0
True,1.068419,5,5.09855E-06,0
True,2.645728,55,8.836828E-06,0
True,3.576265,2,6.120224E-06,0
True,1.875458,15,3.466625E-05,0
True,2.287279,7,6.427912E-06,0
True,2.598765,13,2.079692E-05,0
True,1.463675,8,2.263502E-05,0
True,1.211577,10,2.412273E-05,0
True,2.045287,2,1.5118E-05,0
True,1.306362,14,1.030557E-05,0
True,3.075974,12,5.262114E-06,0
True,4.190073,5,7.411772E-05,0
True,3.353049,2,1.095616E-05,0
True,2.281086,3,1.257722E-05,0
True,1.359248,100,5.39114E-05,0
True,0.9386042,6,4.981479E-05,0
True,1.691416,2,1.112409E-05,0
True,3.982914,10,2.565146E-05,0
True,2.940644,12,8.471412E-06,0
True,2.95682,2,2.324703E-05,0
True,3.219408,11,5.869802E-05,0
True,1.404398,4,2.676932E-05,0
True,1.677203,22,2.799515E-06,0
True,4.181668,4,1.687948E-05,0
True,2.176274,8,1.16394E-05,0
True,2.433625,2,4.309708E-06,0
True,1.129989,2,8.638562E-06,0
True,3.169083,2,6.63495E-06,0
True,2.530745,29,2.824732E-05,0
True,2.098104,2,1.134056E-05,0
True,5.079623,2,9.851956E-06,0
True,2.584097,2,1.135746E-05,0
True,2.574893,2,6.389941E-06,0
True,2.781021,2,1.23514E-05,0
True,3.722297,2,6.057428E-06,0
True,3.168032,19,4.86482E-05,0
True,2.80628,16,1.366767E-05,0
True,2.798517,28,1.031609E-05,0
True,2.478734,97,3.409683E-05,0
True,1.847503,11,3.395017E-05,0
True,1.009122,10,2.445957E-05,0
True,1.520347,2,4.194405E-06,0
True,2.117702,15,8.315239E-05,0
True,3.553759,2,1.096065E-05,0
True,3.367848,2,4.848468E-06,0
True,3.333223,5,1.426283E-05,0
True,2.977334,15,6.183545E-05,0
True,2.635282,17,6.15411E-05,0
True,1.436659,19,3.293254E-05,0
True,1.288283,2,8.335389E-05,0
True,3.960918,2,5.269873E-06,0
False,2.515859,100,0.0006195112,0
True,2.086566,2,6.344746E-06,0
True,1.809174,2,4.890124E-05,0
True,3.802074,2,2.330153E-05,0
False,3.144321,100,8.760358E-05,0
True,3.45353,2,2.901017E-05,0
True,3.271363,19,1.194177E-05,0
True,2.731904,9,2.059321E-05,0
True,1.984856,10,1.776985E-05,0
True,1.754418,23,8.152556E-06,0
True,2.611839,4,1.040353E-05,0
True,1.494251,6,2.527349E-05,0
True,1.5771,37,1.152734E-05,0
True,2.767849,39,9.435671E-06,0
True,2.006303,10,2.26263E-05,0
True,2.248942,4,1.591634E-05,0
True,2.303335,3,1.806139E-05,0
True,1.710793,2,9.849126E-06,0
True,3.294787,51,1.841996E-05,0
True,4.266882,2,6.202607E-06,0
True,1.92233,4,3.042903E-06,0
True,4.100557,6,1.292088E-05,0
True,1.598459,17,5.543971E-05,0
True,2.232067,2,2.734632E-05,0
True,2.49494,2,9.031824E-06,0
True,2.379011,4,5.579326E-06,0
True,2.965099,100,3.122346E-05,0
False,2.773263,100,0.0008847126,0
True,1.878827,10,3.976948E-05,0
False,1.197185,100,0.0001955288,0
True,3.487205,6,2.087168E-05,0
True,2.084161,2,1.145154E-05,0
True,2.74229,39,1.195812E-05,0
True,1.819268,2,5.62688E-06,0
True,2.681922,24,5.617003E-05,0
True,1.663445,8,5.812465E-06,0
False,2.058301,100,0.001691015,0
True,2.011322,35,4.096322E-05,0
True,2.644576,14,2.202349E-06,0
True,2.553845,2,6.896131E-06,0
True,2.223711,13,3.379704E-05,0
True,2.516191,4,3.047867E-05,0
True,3.345613,2,9.317409E-06,0
True,1.318576,67,6.669944E-05,0
True,1.244987,18,6.417947E-05,0
True,1.456381,7,1.527601E-05,0
True,3.29927,2,7.778863E-06,0
True,1.241343,3,1.2198E-05,0
True,3.102414,2,7.50853E-06,0
True,2.002011,100,9.455935E-06,0
True,3.361119,2,1.646308E-05,0
True,2.228942,25,5.122719E-05,0
True,2.256212,15,1.552773E-05,0
True,3.822551,14,2.936551E-05,0
True,2.482843,5,6.279116E-05,0
True,2.129699,7,9.985157E-06,0
True,2.706546,12,1.767456E-05,0
True,2.11889,2,2.87796E-05,0
True,2.307552,100,3.708354E-06,0
True,1.196136,2,1.323331E-05,0
True,3.120153,4,2.492079E-05,0
True,3.426017,2,7.719204E-06,0
True,3.500033,2,1.295659E-05,0
True,2.480022,17,6.030771E-05,0
True,3.733593,4,1.289776E-05,0
False,3.306818,100,0.0001258432,0
True,1.444505,4,1.293462E-05,0
True,1.471222,2,7.110212E-06,0
True,1.535669,14,8.242268E-06,0
False,3.917169,100,0.0001203152,0
True,1.764411,2,8.928283E-06,0
True,1.655143,20,1.217803E-05,0
True,1.560914,4,2.37694E-05,0
True,2.030892,71,3.026936E-05,0
True,2.497968,24,1.238013E-05,0
True,3.280751,100,7.397878E-05,0
True,2.978101,23,6.979409E-06,0
True,2.210506,9,3.018727E-06,0
True,1.2991,2,2.080057E-05,0
True,2.791282,2,3.741043E-05,0
True,2.28652,4,1.709337E-05,0
True,2.73721,2,8.29362E-05,0
True,2.310947,4,7.409459E-06,0
True,2.294558,6,1.30594E-05,0
True,2.174385,2,1.987116E-05,0
True,2.465883,17,3.34509E-05,0
True,0.6010134,14,1.014685E-05,0
True,3.022541,6,8.259505E-06,0
True,3.660195,4,6.900316E-06,0
True,3.600811,15,3.472298E-05,0
True,2.485307,11,1.679328E-05,0
True,1.294892,4,1.251644E-05,0
True,2.797547,80,7.880728E-06,0
True,3.139021,13,1.578657E-05,0
True,3.626403,2,1.577756E-05,0
True,4.295884,4,2.764506E-05,0
True,1.778348,35,1.76821E-05,0
True,3.848823,2,2.311984E-05,0
False,2.783281,100,0.001931189,0
True,2.575424,7,1.41735E-05,0
True,2.039005,51,6.895428E-06,0
True,1.362497,2,1.094212E-05,0
True,3.241769,100,1.684624E-05,0
True,3.505193,19,6.925939E-05,0
False,1.538546,100,0.0003271268,0
True,2.077105,4,5.614163E-05,0
True,2.149365,6,1.183749E-05,0
True,1.818895,35,3.483222E-05,0
True,2.388893,13,1.776801E-05,0
True,2.471607,4,5.972475E-05,0
True,1.934133,11,1.558784E-05,0
True,2.439507,22,1.756467E-05,0
True,1.648854,74,1.615022E-05,0
True,2.790386,2,1.379638E-05,0
True,2.110959,88,5.943561E-05,0
True,2.414062,12,3.342115E-06,0
True,2.333065,8,7.754673E-05,0
True,2.428622,100,6.231643E-05,0
True,2.341543,41,1.87178E-05,0
True,1.912104,2,2.798278E-05,0
True,2.122407,11,6.638229E-05,0
True,1.641379,56,8.012505E-05,0
True,3.277724,4,4.546002E-06,0
True,2.666889,49,6.171887E-06,0
True,2.499153,2,2.284499E-06,0
True,1.914838,28,4.214214E-05,0
True,1.617396,20,7.130286E-05,0
True,2.008826,4,7.252198E-06,0
True,1.778171,8,1.317195E-05,0
True,3.896567,2,6.771098E-06,0
True,3.521713,2,7.005767E-05,0
False,2.732281,100,7.689452E-05,0
True,4.033329,14,1.015818E-05,0
True,2.810533,4,2.96503E-05,0
True,1.735297,61,2.704332E-05,0
True,3.968372,28,8.506984E-06,0
True,2.813172,2,7.622772E-05,0
True,2.179515,2,9.865604E-06,0
True,2.314913,11,5.78971E-06,0
True,1.424146,53,3.91338E-05,0
True,1.707995,10,3.430122E-05,0
False,4.60222,100,0.0004039531,0
True,2.689704,2,1.056298E-05,0
True,2.585303,10,7.147837E-06,0
True,4.124127,5,8.017656E-06,0
True,3.538158,4,2.835102E-05,0
True,2.090795,10,4.303942E-05,0
True,2.396553,28,4.605778E-05,0
True,1.668967,6,1.211735E-05,0
True,1.190333,10,1.063905E-05,0
False,1.643167,100,0.0001421861,0
True,2.794358,10,1.17589E-05,0
True,2.195966,35,1.103105E-05,0
True,1.131373,2,9.910336E-06,0
True,2.41248,2,4.469951E-06,0
True,1.597366,22,5.668326E-05,0
True,2.968788,2,6.934662E-06,0
True,2.254047,21,6.734534E-06,0
True,2.39028,6,2.915724E-05,0
