Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
753,2.2402490315436787,2.1699693247670946,2.1263248618723214,2.2095764304621723,1.968075349795742,2.234148452576115,,
754,2.239939712020045,2.1698917256081853,2.1262311597041905,2.209494058524965,1.9679131497097169,2.2340108703610864,,
755,2.2394891937749546,2.1698579762188954,2.125888799319086,2.2093661539501177,1.9673454277430884,2.2335002240680426,,
756,2.23926990048313,2.169649205840045,2.125592930864663,2.208879724690485,1.9673015005921366,2.2333171140335555,,
757,2.2389667993920543,2.169427804776115,2.1251633660075253,2.2084852694687584,1.9671568826026982,2.2331947381610613,,
758,2.2383993471989023,2.1691639946018135,2.1246910513545765,2.2083466418444937,1.9665761694580786,2.232971210004983,,
759,2.2381566534378377,2.16903283006032,2.1241774481638047,2.207861754697979,1.9664641806037857,2.232407869191566,,
760,2.238083105971979,2.16868364532027,2.1239379934550064,2.207679242556653,1.9658028821145457,2.232240163891113,,
761,2.23782505778256,2.1684882141979895,2.1237093447557442,2.2074163605117327,1.9654011765493478,2.232005823076839,,
762,2.2374170149952386,2.1682485462876735,2.123176533781358,2.207019744753329,1.9652550911536084,2.23162461765665,,
763,2.2371198984593423,2.1679413250215274,2.1230128921499767,2.2068270846214864,1.964800967337324,2.2314396187744423,,
764,2.2370114733486814,2.1676224751804374,2.122774305634788,2.2065881722355054,1.964584287598751,2.231313687163095,,
765,2.2365215740734303,2.167414883552616,2.122610095849056,2.206215747405173,1.9642382460464864,2.231133272045337,,
766,2.2362455839245325,2.1669721955073973,2.1222003097285405,2.206075782017547,1.9638627085646967,2.230918211835839,,
767,2.2360641821716736,2.166634047876915,2.1219688006719015,2.2058296556764128,1.963454602635868,2.2308582279911806,,
768,2.2353284400500395,2.1664736069118056,2.121583906952168,2.205758832435473,1.9629901527121485,2.230455166803988,,
769,2.235244876317148,2.166359542921484,2.1210041549605196,2.2054188281712532,1.9627321827310709,2.2301615294352404,,
770,2.234870501995339,2.165833715322179,2.1208286102690543,2.2050709547290475,1.9624108181470012,2.229976271462842,,
771,2.2345612356970026,2.165393585983121,2.120358683771538,2.204329187772575,1.9619850247691069,2.22993529486335,,
772,2.2344117501623537,2.1651117987180495,2.119779282422986,2.204037101589288,1.9616210018153752,2.2297153817667654,,
773,2.2339679820130716,2.164938234899296,2.1195290345861135,2.2036799853179,1.961090554960008,2.2292795651906334,,
774,2.2332581747004507,2.164802873436346,2.118977655091411,2.20329797705156,1.9609695678623502,2.2289968165816547,,
775,2.2329935548993065,2.1645771863170222,2.1186794541163945,2.203071010041645,1.9606549810148801,2.2288507254928476,,
776,2.2321853035427397,2.164110156365226,2.1184794136266816,2.202767873990709,1.9604730496081832,2.228733501764834,,
