I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
0.3025766,0.8164779,0.4318569,0.9660819,0.5900655,0.5567493,0.4430352,0.4164553,0.4626297,0.5152563,0.05629046,0.6756026
0.5204381,0.8952824,0.4770453,0.08423953,0.2622931,0.9296579,0.6387073,0.08789559,0.4452362,0.4972684,0.822962,0.5731695
0.381195,0.8157777,0.4633014,0.8374377,0.9352815,0.23537,0.4630709,0.1359403,0.3004661,0.4372573,0.379149,0.6292445
0.5598602,0.5524796,0.4958998,0.1392189,0.595624,0.6960698,0.05474093,0.9373515,0.05550604,0.3873958,0.3412696,0.6512297
0.5261807,0.8904648,0.4638643,0.1368747,0.6943957,0.2374808,0.5377024,0.1412502,0.5131659,0.6003358,0.9788396,0.7022648
0.707967,0.7699997,0.5509056,0.1138717,0.4670677,0.4117751,0.4764835,0.05451918,0.7394538,0.4399277,0.9618649,0.7179598
0.545884,0.5965202,0.2682724,0.08536224,0.114101,0.7678719,0.2353694,0.6716831,0.2085504,0.5779365,0.9342645,0.2800837
0.532599,0.5639374,0.461029,0.01594483,0.6045135,0.7007275,0.1277344,0.8945414,0.03295538,0.5516731,0.4393009,0.4688559
0.5003763,0.531936,0.6188588,0.8733041,0.6982004,0.5905421,0.7865717,0.8683913,0.08735368,0.2950772,0.1426787,0.4791845
0.4538639,0.9098939,0.5910715,0.8119744,0.8135189,0.730281,0.6296503,0.323337,0.5693679,0.6031716,0.1117398,0.6191
0.5639037,0.9057386,0.5761197,0.05932316,0.8309532,0.04557687,0.8750747,0.2754143,0.4521812,0.5259762,0.871636,0.7134928
0.3925395,0.7459301,0.8022986,0.02929823,0.4888483,0.6995574,0.7110833,0.6793619,0.5289586,0.3799477,0.1162951,0.3866959
0.3682728,0.8618308,0.3183798,0.1994326,0.3218217,0.9814812,0.3721553,0.5117319,0.5363221,0.6149808,0.9608439,0.7098932
0.4745627,0.8591005,0.2302516,0.1009442,0.5616054,0.02290194,0.26428,0.5478337,0.5316433,0.4941873,0.6739975,0.3979508
0.3825796,0.6685628,0.2362592,0.8815564,0.3086153,0.8052417,0.3128666,0.6021551,0.299495,0.4773692,0.8047106,0.7019429
0.5629277,0.5594191,0.3814283,0.06874627,0.6975113,0.7739851,0.1753346,0.7736402,0.1555399,0.4927707,0.08484867,0.5362763
0.276934,0.6297176,0.2366605,0.06264354,0.1314512,0.3060429,0.3471995,0.8390242,0.5206275,0.6191412,0.07280749,0.3048133
0.2344276,0.855469,0.5658993,0.9369545,0.9515142,0.2546625,0.5498458,0.5880893,0.6115358,0.4140521,0.2666564,0.5897681
0.2827832,0.7840998,0.3777014,0.9485325,0.9316553,0.2526628,0.4161959,0.4161207,0.361188,0.3915478,0.5323739,0.6157891
0.6099035,0.5135664,0.7546574,0.05543427,0.09533338,0.6979191,0.7979931,0.9206371,0.3954562,0.6031595,0.09070829,0.5565666
0.5231916,0.5378325,0.4332553,0.1114873,0.3156901,0.3998085,0.1977591,0.8896157,0.06544522,0.2450696,0.4918082,0.3851511
0.3439625,0.5295672,0.5340276,0.9866742,0.7432359,0.3671399,0.5577824,0.7839534,0.1559057,0.3559569,0.276033,0.2896377
0.3951952,0.5804974,0.5309173,0.9614019,0.7336398,0.6707874,0.5032051,0.6466621,0.0274663,0.6924537,0.1406325,0.4396486
0.2614398,0.6175362,0.6919509,0.07643556,0.6586735,0.5999339,0.5979594,0.7016219,0.3666933,0.611976,0.3107027,0.6591879
0.5805185,0.6427533,0.5828158,0.8653107,0.8189671,0.8393283,0.866724,0.222083,0.008834849,0.4873438,0.9050156,0.6817827
0.3885623,0.9002658,0.4095272,0.1047199,0.8928932,0.8544504,0.3800011,0.7105015,0.8861504,0.4683109,0.8543568,0.5561926
0.4642799,0.908391,0.4582632,0.9542376,0.1584984,0.7915772,0.4599571,0.2422645,0.5164933,0.6176104,0.9244705,0.518376
0.1224853,0.6835843,0.464109,0.2042525,0.2803809,0.7082573,0.4975271,0.9176215,0.683443,0.6586227,0.8194774,0.7234858
0.4217114,0.8815436,0.6689826,0.04477525,0.006684626,0.8772708,0.6611746,0.4242787,0.4876733,0.4272296,0.9242059,0.448963
0.4084293,0.9219655,0.4484501,0.8111545,0.01667338,0.2646131,0.3760162,0.3946761,0.6548956,0.5943223,0.09653872,0.5714238
0.6353663,0.8575736,0.5289832,0.8325956,0.9709226,0.8057044,0.4503297,0.02502588,0.5353941,0.5424017,0.8790277,0.4112458
0.2184491,0.825399,0.5463282,0.1220814,0.8985233,0.2029722,0.5372388,0.553337,0.5126945,0.6446792,0.6854373,0.3048278
0.3899008,0.6040357,0.5001853,0.9669389,0.7473823,0.5639484,0.4803652,0.3123719,0.03822202,0.3010646,0.6399748,0.2860157
0.8321452,0.6660038,0.7003471,0.04295349,0.5106443,0.2914373,0.906246,0.879189,0.620091,0.3283061,0.6665184,0.611323
0.561361,0.6718773,0.1047283,0.1821521,0.3644722,0.8648337,0.2227463,0.9652206,0.704451,0.4407993,0.6034924,0.400445
