I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.9184519,0.1898988,0.07748667,0.5755879,0.6505805,0.1811569,0.8185664,0.5218338,0.347453,0.8481637,0.3235571,0.2169518,0.2980134,0.6724306,0.2955082,0.6794308,0.256709,0.4688469,0.5171695,0.3688524,0.5180568,0.5393681,0.4574308,0.8974308,0.8104461,0.1493178,0.4961427,0.601501,0.4166433,0.1867414,0.297696,0.2846135,0.7594455,0.09726796,0.4762017,0.7200567,0.7114966,0.3059798,0.7216834,0.7458917,0.4633897,0.3519864,0.1655083,0.6044742,0.722769,0.5814443
0.4961427,0.601501,0.4166433,0.1867414,0.297696,0.2846135,0.7594455,0.09726796,0.4762017,0.7200567,0.7114966,0.3059798,0.7216834,0.7458917,0.4633897,0.3519864,0.1655083,0.6044742,0.722769,0.5814443,0.5866101,0.4914761,0.5677717,0.9448084,0.5681432,0.6102781,0.4462101,0.4279101,0.3373058,0.4225783,0.533923,0.5862842,0.7322879,0.299363,0.6427403,0.6290646,0.7148185,0.04733962,0.6641212,0.8545443,0.5783832,0.5360275,0.4831173,0.6967317,0.3688864,0.4947399
0.4462101,0.4279101,0.3373058,0.4225783,0.533923,0.5862842,0.7322879,0.299363,0.6427403,0.6290646,0.7148185,0.04733962,0.6641212,0.8545443,0.5783832,0.5360275,0.4831173,0.6967317,0.3688864,0.4947399,0.6150295,0.5746777,0.5126073,0.1901984,0.8999264,0.3715564,0.5229867,0.3679222,0.4779058,0.3346913,0.6416854,0.4352566,0.6693327,0.5773297,0.6424012,0.4404303,0.8003758,0.2766671,0.6721855,0.739055,0.4268842,0.5714919,0.5449051,0.4587634,0.2595227,0.3812099
0.5229867,0.3679222,0.4779058,0.3346913,0.6416854,0.4352566,0.6693327,0.5773297,0.6424012,0.4404303,0.8003758,0.2766671,0.6721855,0.739055,0.4268842,0.5714919,0.5449051,0.4587634,0.2595227,0.3812099,0.6655023,0.5254844,0.5172998,0.9210336,0.260619,0.4984784,0.2198952,0.6905158,0.3564424,0.6980693,0.2593083,0.7938462,0.6551158,0.5503739,0.5624231,0.4794918,0.6711134,0.6345671,0.504739,0.4689733,0.2998794,0.4679027,0.4405607,0.1173651,0.5107528,0.2657023
0.2198952,0.6905158,0.3564424,0.6980693,0.2593083,0.7938462,0.6551158,0.5503739,0.5624231,0.4794918,0.6711134,0.6345671,0.504739,0.4689733,0.2998794,0.4679027,0.4405607,0.1173651,0.5107528,0.2657023,0.4766721,0.5752558,0.4461206,0.8274245,0.5868455,0.5799193,0.5927221,0.6010972,0.3688841,0.6004885,0.2901313,0.7373219,0.5711721,0.1598134,0.1934688,0.6541688,0.4892336,0.9664484,0.6075462,0.6581585,0.6848057,0.7377919,0.2225513,0.2482602,0.9208608,0.683252
0.5927221,0.6010972,0.3688841,0.6004885,0.2901313,0.7373219,0.5711721,0.1598134,0.1934688,0.6541688,0.4892336,0.9664484,0.6075462,0.6581585,0.6848057,0.7377919,0.2225513,0.2482602,0.9208608,0.683252,0.4748674,0.5456524,0.5814821,0.002043208,0.09326466,0.7221011,0.8821801,0.3308406,0.01369058,0.8536428,0.3618128,0.5926558,0.5765434,0.2363869,0.6366886,0.2291351,0.5331891,0.8660106,0.1964561,0.3615636,0.6069464,0.2973374,0.6329475,0.3083732,0.595538,0.4211753
0.8821801,0.3308406,0.01369058,0.8536428,0.3618128,0.5926558,0.5765434,0.2363869,0.6366886,0.2291351,0.5331891,0.8660106,0.1964561,0.3615636,0.6069464,0.2973374,0.6329475,0.3083732,0.595538,0.4211753,0.4943209,0.4723578,0.5544453,0.04312682,0.6924818,0.0266808,0.4622524,0.4924935,0.3159623,0.7510515,0.4705652,0.5837964,0.2967073,0.5607527,0.6261098,0.4820872,0.4671061,0.7713422,0.08053506,0.524253,0.688166,0.4790537,0.4839164,0.6357411,0.2840631,0.464694
0.4622524,0.4924935,0.3159623,0.7510515,0.4705652,0.5837964,0.2967073,0.5607527,0.6261098,0.4820872,0.4671061,0.7713422,0.08053506,0.524253,0.688166,0.4790537,0.4839164,0.6357411,0.2840631,0.464694,0.3868758,0.6082228,0.4866376,0.02288296,0.6181157,0.8429364,0.3691921,0.7622244,0.4951247,0.3889436,0.2179626,0.6592375,0.2530125,0.5756742,0.3467025,0.5714361,0.3935164,0.6827875,0.2512582,0.5942518,0.5822358,0.4693839,0.7030196,0.3204677,0.4286112,0.234863
0.3691921,0.7622244,0.4951247,0.3889436,0.2179626,0.6592375,0.2530125,0.5756742,0.3467025,0.5714361,0.3935164,0.6827875,0.2512582,0.5942518,0.5822358,0.4693839,0.7030196,0.3204677,0.4286112,0.234863,0.4224071,0.4059331,0.5610998,0.07389969,0.3897762,0.78115,0.5531964,0.609324,0.4986691,0.4672054,0.3602153,0.8027135,0.3247616,0.4449718,0.5028521,0.5045019,0.5390026,0.5905107,0.1653856,0.5400276,0.768348,0.431296,0.6459798,0.1856058,0.1365015,0.4194773
0.5531964,0.609324,0.4986691,0.4672054,0.3602153,0.8027135,0.3247616,0.4449718,0.5028521,0.5045019,0.5390026,0.5905107,0.1653856,0.5400276,0.768348,0.431296,0.6459798,0.1856058,0.1365015,0.4194773,0.4920098,0.5258502,0.5445487,0.9760702,0.6660039,0.3884894,0.594215,0.8546801,0.7945004,0.7171061,0.1089031,0.6267576,0.05375962,0.1731377,0.8080205,0.3082705,0.497695,0.8128195,0.139726,0.7955371,0.4076641,0.2026209,0.7569945,0.01627171,0.1258419,0.5719875
