I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.4449763,0.4381791,0.5727637,0.1395545,0.9546033,0.5889243,0.4391639,0.4597812,0.7734124,0.4523681,0.3768498,0.7066259,0.2176266,0.3307206,0.3587457,0.2555913,0.3706489,0.343154,0.263908,0.425605,0.4081141,0.7265073,0.5687076,0.4055358,0.3514968,0.7048991
0.5234808,0.5400465,0.4259556,0.1469908,0.6040944,0.2165121,0.776311,0.4736124,0.2861519,0.5114114,0.7571666,0.3137299,0.5983168,0.542581,0.6468717,0.3243271,0.7113684,0.4562362,0.4163819,0.6493258,0.3514497,0.7099265,0.3361358,0.7248257,0.7037889,0.5285511
0.5476535,0.4688106,0.4790385,0.7786887,0.1655078,0.9084671,0.5477501,0.8076217,0.3030511,0.4358889,0.3288854,0.8116344,0.4465894,0.6232815,0.3114754,0.2485672,0.3238176,0.3397133,0.5110453,0.4158366,0.582386,0.2750463,0.6655555,0.3448914,0.6923394,0.2541881
0.5353239,0.5104406,0.4172245,0.965642,0.2817262,0.6202157,0.3641311,0.6531625,0.3460009,0.4276695,0.2041539,0.3271901,0.3647103,0.7946807,0.4666369,0.7841247,0.381689,0.4654238,0.3664893,0.6348395,0.608173,0.4299107,0.4140775,0.6612186,0.4404984,0.7006136
0.4988942,0.4805588,0.4419865,0.8729885,0.06773697,0.4278139,0.6662009,0.3496876,0.3219523,0.299524,0.2419114,0.4218399,0.545919,0.7024634,0.3435511,0.5733762,0.3392057,0.548518,0.4062963,0.3494448,0.6403226,0.5858732,0.2767289,0.2981329,0.4435298,0.686745
0.4245399,0.5332732,0.5475814,0.02770452,0.9689813,0.8169801,0.3851254,0.7353203,0.5737534,0.7419668,0.2660447,0.4263896,0.6108243,0.3828138,0.5297631,0.2440737,0.3477064,0.5981016,0.3087285,0.6902003,0.2215989,0.4521953,0.3645808,0.7531669,0.4247059,0.3799782
0.5702868,0.5061756,0.4294474,0.9947496,0.1542185,0.6710805,0.771687,0.2925283,0.3080343,0.4036247,0.7241628,0.4190737,0.2942986,0.2208048,0.4586,0.4119624,0.2830662,0.6590232,0.2788145,0.5229016,0.506063,0.7923109,0.5483459,0.6058612,0.2813053,0.3496702
0.447896,0.5824432,0.5436646,0.06343973,0.5221912,0.8449536,0.4364143,0.425127,0.291291,0.6014499,0.7402085,0.2053626,0.5210849,0.3569304,0.8196293,0.5933031,0.3264847,0.5928324,0.6868426,0.8268928,0.3025579,0.7067818,0.4558443,0.4459525,0.776832,0.2346098
0.3455929,0.4252678,0.4591562,0.03010487,0.1129284,0.0339831,0.5812668,0.6474488,0.3241958,0.7857416,0.4272612,0.4356627,0.4018991,0.3883979,0.5170549,0.5093552,0.2793402,0.474344,0.5023519,0.6102524,0.2347581,0.4370951,0.5908273,0.5227383,0.3311659,0.4054082
0.5533521,0.4133185,0.5343973,0.7953423,0.3171524,0.2199639,0.7359136,0.3001324,0.6759701,0.613872,0.6192152,0.5391265,0.3768873,0.744619,0.4497903,0.6044013,0.6942368,0.5403656,0.1844857,0.3657014,0.4434479,0.6976436,0.2598681,0.2904958,0.1722453,0.6042312
0.4612552,0.5562797,0.4873646,0.8801078,0.6071199,0.7353656,0.7100499,0.4772614,0.5955801,0.3708147,0.4330125,0.5103754,0.3321411,0.4393605,0.302951,0.6878816,0.2772101,0.283912,0.5210295,0.6104243,0.3234559,0.2894007,0.4672259,0.2884136,0.260092,0.4380504
0.447951,0.6027274,0.4976515,0.901673,0.7135767,0.2978501,0.3467091,0.4632028,0.5304372,0.5392444,0.5736331,0.536855,0.3369994,0.3114105,0.4396645,0.6571202,0.3580114,0.5839816,0.3601472,0.7272897,0.3861091,0.288379,0.5067685,0.7174732,0.6236858,0.5429427
0.5087034,0.520223,0.4969561,0.2187487,0.5370602,0.7440667,0.5686523,0.1906968,0.216484,0.7879707,0.6061941,0.2467825,0.7056206,0.4057325,0.5449983,0.3285938,0.4211202,0.5952454,0.8117784,0.3538613,0.6033748,0.2675324,0.296281,0.3204539,0.6196036,0.3999893
0.4895023,0.513368,0.402593,0.1000305,0.8379704,0.8348868,0.6645862,0.210589,0.6940695,0.600869,0.4782339,0.2435608,0.434955,0.7778838,0.7869551,0.2726693,0.6993712,0.572337,0.5559062,0.676402,0.6696447,0.5294616,0.5491591,0.2033281,0.7219361,0.5477578
0.5222639,0.4550405,0.5394199,0.05549959,0.6843927,0.1647227,0.5567613,0.6614149,0.6229538,0.563661,0.2255128,0.4941808,0.5506918,0.729654,0.4418713,0.5174529,0.2313575,0.5310233,0.5601311,0.3580986,0.5025256,0.2312038,0.5790323,0.3400095,0.591467,0.6289725
0.4872779,0.5193363,0.5445119,0.8671426,0.3003352,0.6337988,0.3504929,0.7881671,0.6891432,0.285798,0.534346,0.3690404,0.4239329,0.3063686,0.6867911,0.4780388,0.7752316,0.4699579,0.5806395,0.7387193,0.2344217,0.3354868,0.7217939,0.4318067,0.4099015,0.6604249
0.3811912,0.5338557,0.5388085,0.06484208,0.5091235,0.03759559,0.6184471,0.656612,0.7981911,0.4799196,0.1998081,0.4601974,0.1958129,0.7309851,0.3822438,0.4415632,0.3453763,0.3075263,0.6802365,0.2260371,0.3303454,0.6478045,0.1989667,0.4887892,0.3288957,0.6699188
0.4394861,0.5499222,0.4092519,0.9418208,0.5770763,0.8432278,0.5142737,0.7191116,0.7003701,0.3036449,0.7818491,0.4150221,0.576021,0.6322871,0.6530146,0.3605124,0.2996395,0.2197947,0.3205548,0.721581,0.4928275,0.7713088,0.7821689,0.2911328,0.4280278,0.4328786
0.5507566,0.5696711,0.4678624,0.08584165,0.891582,0.06026622,0.2299785,0.610459,0.6087842,0.4338682,0.6665282,0.3386264,0.3943345,0.5812316,0.7205023,0.5492206,0.438711,0.3366027,0.7432416,0.4034103,0.5385316,0.4431611,0.5815863,0.4348556,0.7625644,0.3770846
0.563861,0.5331688,0.5164237,0.1657772,0.7049567,0.8533345,0.2499364,0.2902776,0.5329249,0.236434,0.6291102,0.3382215,0.7567286,0.7395241,0.5205194,0.3103013,0.5562475,0.359819,0.7653304,0.5971821,0.5745581,0.5992081,0.5332229,0.5683328,0.3068376,0.5212079
0.5136276,0.5194472,0.579074,0.06385951,0.7940278,0.1018518,0.2796088,0.230984,0.3963083,0.6021638,0.6344136,0.2909437,0.229651,0.6479868,0.6200539,0.6328476,0.7068563,0.4603094,0.5710067,0.3450677,0.6709928,0.3629149,0.6062183,0.2488618,0.2439435,0.72101
0.4964748,0.5654746,0.5286497,0.947003,0.547233,0.8820829,0.6041755,0.3947353,0.3036336,0.2200808,0.3707692,0.726626,0.2554721,0.5907998,0.3530385,0.4607844,0.3732423,0.3500926,0.6466006,0.272031,0.5673585,0.238893,0.4277881,0.5007111,0.4175883,0.4135782
0.4692545,0.585024,0.4916891,0.9258289,0.4326756,0.0008976987,0.5277617,0.7356331,0.673062,0.3784153,0.5746508,0.4559724,0.7330495,0.4026346,0.2913113,0.5775229,0.4202618,0.3981539,0.8314705,0.1791529,0.8618475,0.5273607,0.2023329,0.4126639,0.8191838,0.3948932
0.5222431,0.5826434,0.5015484,0.9333799,0.9712301,0.6768734,0.5203162,0.6979738,0.5449232,0.5549545,0.5349306,0.2764223,0.4643307,0.4318098,0.7544936,0.4371884,0.742532,0.4796911,0.4780048,0.4315617,0.1880175,0.2062164,0.7293573,0.3378079,0.3816814,0.668368
0.4778295,0.4584863,0.4617587,0.1932561,0.3333795,0.04652202,0.8368672,0.1831961,0.3238492,0.5371659,0.7571763,0.4299426,0.5927933,0.483631,0.5204973,0.1644615,0.1814475,0.4397199,0.8399036,0.4898307,0.2154489,0.7778968,0.2102099,0.5314977,0.2978977,0.5319918
0.370515,0.5687615,0.5933812,0.8905722,0.2342678,0.4084645,0.2765241,0.6190218,0.7000033,0.4747693,0.4845181,0.3732261,0.6798732,0.5738598,0.4684235,0.7289782,0.3467333,0.6368171,0.4883891,0.462248,0.4854001,0.5449378,0.6477518,0.6291962,0.3103086,0.4526401
0.4111078,0.4873277,0.5042783,0.0120753,0.2892073,0.6536238,0.6174521,0.3694254,0.5145007,0.6663017,0.5295938,0.7505454,0.3887766,0.4883162,0.3068198,0.6779671,0.4415364,0.5626835,0.555723,0.5693322,0.569517,0.5035467,0.4927326,0.4130107,0.3658336,0.385868
0.5118815,0.5388401,0.5304874,0.03199492,0.7678006,0.3964218,0.6037748,0.2285319,0.3679636,0.4462235,0.2016603,0.2385324,0.3003685,0.5023896,0.7905532,0.2771455,0.6209019,0.4216243,0.4630575,0.6782123,0.6575428,0.2168557,0.6321641,0.5106009,0.587936,0.3143132
0.5111587,0.6394945,0.5409638,0.01015736,0.7518256,0.6267883,0.6413159,0.7734351,0.6977462,0.7461831,0.3754806,0.3930317,0.8043903,0.5601651,0.3658719,0.7932241,0.4939223,0.5450918,0.3526698,0.5324359,0.3989661,0.2113509,0.7574934,0.2066398,0.6320451,0.4482648
0.5244981,0.4811879,0.5008769,0.8281475,0.293045,0.2146694,0.5075264,0.5139238,0.5955946,0.6227632,0.8039422,0.7184035,0.4106022,0.5859537,0.512176,0.6207599,0.352841,0.6594151,0.376331,0.429564,0.4133332,0.4892264,0.4636735,0.527177,0.2207645,0.4144222
0.5305325,0.558263,0.4846669,0.02833155,0.4093151,0.03978341,0.3890277,0.7516074,0.3057125,0.5707387,0.5793592,0.2049526,0.7734079,0.2526835,0.3497982,0.5166065,0.6655771,0.4225597,0.4554744,0.2314708,0.3090172,0.6084208,0.3999301,0.7746015,0.3515107,0.6936222
0.5258902,0.4761541,0.5474642,0.04191938,0.7149099,0.03821667,0.7778547,0.7980093,0.4734475,0.6040672,0.5207259,0.3925589,0.2092261,0.6409974,0.4813493,0.8450131,0.7426937,0.6349227,0.3433532,0.2730789,0.6992444,0.2670334,0.6326653,0.3552951,0.1558943,0.3447186
0.5193517,0.5301048,0.5358918,0.9699787,0.5786706,0.0151994,0.631766,0.1668509,0.3836777,0.4917949,0.6144175,0.4837158,0.1955976,0.6624638,0.322468,0.6251835,0.4113147,0.6184819,0.3695526,0.4603024,0.826427,0.682078,0.2263539,0.7454391,0.5607889,0.448749
0.4556014,0.5082064,0.3634407,0.9538098,0.2856751,0.9757764,0.4972823,0.7374967,0.2597076,0.5376743,0.4896496,0.6588652,0.5305702,0.5768185,0.2555516,0.3578189,0.3379877,0.7009153,0.3143002,0.2571973,0.4815424,0.6308376,0.3832415,0.5754554,0.5512121,0.7058572
0.4294759,0.5200869,0.4971033,0.0478856,0.07596625,0.6597936,0.7895324,0.7953613,0.2417823,0.6233453,0.334502,0.7693761,0.5097929,0.6298878,0.5264649,0.3674421,0.5801433,0.3230538,0.4675514,0.407973,0.7806066,0.3261225,0.6111061,0.1877668,0.451098,0.4243615
0.628267,0.4586349,0.6371017,0.05844051,0.5406873,0.6909744,0.481611,0.2905883,0.4212024,0.5467504,0.5038143,0.504177,0.601781,0.4204307,0.5815977,0.4200291,0.5480533,0.5163131,0.714485,0.4903476,0.4754668,0.7006712,0.3140608,0.6003507,0.5189344,0.5613769
0.4429059,0.4663695,0.4553082,0.08270629,0.1512664,0.6696517,0.6421471,0.3056585,0.2882738,0.6341272,0.7132643,0.437562,0.573388,0.2955064,0.8140847,0.3696414,0.4965189,0.3638234,0.4453624,0.5971186,0.370221,0.6184415,0.5728195,0.3426902,0.2460599,0.548332
