Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
137,0.000359832,0.000332716,0.000941326,0.000320509,0.000355208,0.000372381
138,0.000357945,0.000334833,0.00094164,0.000321135,0.000356218,0.000372993
139,0.000356053,0.000332063,0.000945047,0.000321784,0.000355952,0.000366058
140,0.000345724,0.00033303,0.000948337,0.000322529,0.000356816,0.000361843
141,0.000346827,0.000334152,0.000949145,0.00032597,0.000356004,0.000361447
142,0.000343797,0.000335432,0.000952512,0.000327092,0.000355604,0.000362228
143,0.00034352,0.000334039,0.000956139,0.000329833,0.000355482,0.000362222
144,0.000343965,0.000335004,0.000956833,0.000329041,0.000355482,0.000368324
145,0.000343884,0.000336863,0.00095736,0.000328812,0.000352308,0.000363003
146,0.000344815,0.000335471,0.000960543,0.00032919,0.000352773,0.000365637
147,0.000345547,0.000337365,0.00096059,0.00032927,0.000354069,0.000366187
148,0.000340824,0.00033692,0.000958502,0.000329178,0.000354844,0.000366065
149,0.000341377,0.000337514,0.000957995,0.000326603,0.00035482,0.000366717
150,0.000343323,0.000337514,0.000959369,0.00032576,0.00035497,0.000364003
151,0.000345415,0.000339346,0.000960768,0.000326501,0.00035637,0.000357787
152,0.000346606,0.000341032,0.000963068,0.000326213,0.000355444,0.000358362
153,0.000350142,0.000341115,0.00096508,0.000326213,0.000355444,0.000358362
154,0.000349183,0.000341089,0.000961801,0.000325904,0.000355761,0.000350988
155,0.000349183,0.000341444,0.000962641,0.000326285,0.000354131,0.00035155
156,0.000349183,0.0003408,0.000966401,0.000324087,0.000355312,0.000350686
157,0.000350901,0.000341796,0.000970737,0.000323891,0.000357197,0.000349399
158,0.000345419,0.000341355,0.000972121,0.000322805,0.000358719,0.000349186
159,0.000346135,0.000343459,0.000974462,0.000322805,0.000359521,0.000354222
160,0.000345822,0.000341468,0.00097625,0.000317597,0.000357492,0.00035347
161,0.000346938,0.000342735,0.000976769,0.000317484,0.000358634,0.000352965
162,0.000347921,0.000340468,0.000978858,0.000314102,0.000361792,0.000352405
163,0.000347921,0.00033797,0.000977346,0.000316352,0.000362853,0.000353053
164,0.000349903,0.000337244,0.000982859,0.000311959,0.000362474,0.000353053
165,0.000351547,0.000329486,0.000982868,0.000311959,0.000363709,0.000354469
166,0.000352776,0.000331558,0.000988711,0.000312581,0.000355348,0.000351354
167,0.000354223,0.000331632,0.000992756,0.00031288,0.000355348,0.000350667
168,0.000352818,0.000331053,0.00100548,0.00031405,0.000355348,0.000348873
169,0.000352025,0.000331053,0.00100383,0.000316218,0.000355348,0.000348873
170,0.00035114,0.000331817,0.001005947,0.000316218,0.000357027,0.000350429
171,0.000353287,0.000330832,0.001010997,0.000311671,0.000353597,0.000349985
172,0.000352729,0.000328308,0.001007793,0.000310526,0.000359312,0.000349972
173,0.000350426,0.000327302,0.001012527,0.000310823,0.000355766,0.000349972
174,0.000350426,0.000326993,0.001019114,0.000312057,0.000358004,0.000349955
175,0.00034885,0.000312691,0.001022507,0.00031098,0.000358004,0.000351952
176,0.000347733,0.000313958,0.001027063,0.000312804,0.000355273,0.000349888
177,0.000352488,0.000310016,0.001028313,0.000313973,0.000356602,0.000349226
178,0.000354054,0.000308997,0.0010352,0.00031463,0.000352953,0.000349005
179,0.000352566,0.000303803,0.001044565,0.000315786,0.000354066,0.000349005
180,0.000347193,0.000303503,0.001038762,0.00031575,0.000350985,0.000349959
181,0.000348321,0.000305201,0.001037343,0.000317275,0.000350024,0.000351263
182,0.000349014,0.000304943,0.001035839,0.000314818,0.000350359,0.000352288
183,0.000345699,0.000304943,0.00104269,0.000314818,0.000350359,0.000351286
184,0.000345699,0.000302652,0.001044138,0.000314323,0.000347653,0.000349939
185,0.000346114,0.00030365,0.001048336,0.000313345,0.000345875,0.000349694
186,0.000349389,0.00029925,0.001048183,0.000311714,0.000343561,0.000346381
187,0.000347842,0.000298199,0.001050227,0.000312522,0.00034441,0.000348926
188,0.000346056,0.000297339,0.001052028,0.000311633,0.000346721,0.000347666
189,0.00034669,0.000296941,0.001053497,0.000313661,0.000346721,0.000347469
190,0.00034669,0.000297341,0.001058288,0.000312552,0.00034698,0.000343959
191,0.000344826,0.000298181,0.001061268,0.000312873,0.000347931,0.000343904
192,0.000344826,0.000298483,0.001061304,0.000313615,0.000338784,0.000343118
193,0.000348824,0.000297968,0.001062405,0.000313346,0.000339885,0.000343432
194,0.000346762,0.000297968,0.001067428,0.000312375,0.000339621,0.00034316
195,0.000344176,0.000291866,0.001067415,0.000312375,0.000339621,0.00034316
196,0.000349206,0.000292736,0.001069158,0.000312497,0.000341552,0.00034193
197,0.00035125,0.000292957,0.001071136,0.000313306,0.000342802,0.00034193
198,0.00035125,0.000288386,0.001069775,0.000308877,0.000340553,0.000341517
199,0.00035125,0.000288398,0.001068818,0.000309655,0.000340553,0.000341517
200,0.00035125,0.000288325,0.00067249,0.000309655,0.000340967,0.000341517
201,0.00035125,0.000287498,0.000664624,0.000311115,0.000340455,0.000341517
202,0.000340674,0.000284789,0.000664305,0.000306631,0.000341412,0.000346787
203,0.000342096,0.000283873,0.000665533,0.000306555,0.000339695,0.00034808
204,0.000343928,0.000275682,0.000664909,0.000307466,0.000341904,0.000349627
205,0.000343795,0.000276619,0.000666357,0.000307466,0.000341584,0.000351449
206,0.000343829,0.000276044,0.000664879,0.000306543,0.00034264,0.000350781
207,0.000346833,0.000273623,0.000662931,0.000306543,0.000338953,0.000350114
208,0.000346833,0.000273623,0.000662448,0.000306543,0.000339744,0.000351753
209,0.000327725,0.000276224,0.000663275,0.000308508,0.000341005,0.000351068
210,0.000326541,0.000279025,0.000662782,0.000306294,0.00033865,0.000352175
211,0.000322313,0.000278955,0.000661363,0.000302479,0.000343272,0.000351825
212,0.000319771,0.000279448,0.000662448,0.000302408,0.000346157,0.000350661
213,0.000318437,0.000277789,0.00066464,0.00030255,0.000345723,0.000352062
214,0.000319785,0.000279825,0.000664235,0.00029906,0.000344403,0.000352062
215,0.000321111,0.000279825,0.000666816,0.000301547,0.000344403,0.0003484
216,0.000321111,0.000280493,0.000665522,0.000302836,0.000344403,0.0003484
217,0.000321111,0.000280362,0.00066439,0.000304873,0.000344403,0.0003484
218,0.000320585,0.000277164,0.000667585,0.00030598,0.000344403,0.000348737
219,0.000319504,0.000278715,0.000670069,0.000305611,0.000344125,0.000349145
220,0.000321023,0.000278715,0.00067027,0.000306861,0.000343416,0.000349145
221,0.000317104,0.000279215,0.000664374,0.000306861,0.000343416,0.000351552
222,0.000317936,0.000280572,0.000665608,0.000307601,0.000341991,0.000351989
223,0.000317936,0.000280572,0.000663523,0.000308825,0.000339459,0.000351989
224,0.000320001,0.000280572,0.00066145,0.000308825,0.000337737,0.000351177
225,0.000319447,0.000281693,0.000662946,0.000308059,0.000338977,0.000349484
