Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
215,1.97306681,1.980192481,1.997104988,1.97483431,1.978235712,1.973016821
216,1.97300547,1.980225836,1.996997461,1.974580509,1.978060075,1.972712302
217,1.972808573,1.980376427,1.997003187,1.974510357,1.977864494,1.972711772
218,1.97246043,1.980052599,1.996918805,1.97424512,1.977831672,1.972791518
219,1.972225015,1.979983208,1.996740461,1.974272445,1.977533907,1.97284005
220,1.972287909,1.979899355,1.996547896,1.974062005,1.977473293,1.972510488
221,1.972087255,1.979639609,1.996300181,1.973991081,1.977352047,1.972370008
222,1.972273577,1.979329109,1.996262212,1.973854171,1.97723516,1.972423306
223,1.972269366,1.979298257,1.996131508,1.974040039,1.977245583,1.972363428
224,1.972211214,1.97923518,1.995971429,1.973759941,1.977209309,1.972353209
225,1.971974819,1.979174471,1.995828695,1.973694904,1.976895007,1.972196283
226,1.971950523,1.979131897,1.995742722,1.973562175,1.976925016,1.972017981
227,1.971799392,1.978926491,1.995827418,1.973636398,1.976922472,1.971843176
228,1.971592808,1.978840448,1.995782346,1.973126646,1.976958339,1.971756054
229,1.971458537,1.978578245,1.995733322,1.973187419,1.976860379,1.971969785
230,1.971414832,1.978396185,1.995565584,1.97287071,1.976962007,1.971878504
231,1.971279652,1.978472427,1.995429386,1.972698348,1.976825487,1.971674345
232,1.971110266,1.978408535,1.994989371,1.972727276,1.97672225,1.97169087
233,1.97094745,1.97835844,1.994908282,1.972545416,1.976721734,1.97149328
234,1.970667872,1.978213984,1.994686715,1.972051865,1.976701052,1.971464047
235,1.970666433,1.978048195,1.994484201,1.971734557,1.976650528,1.97166206
236,1.970707645,1.977989611,1.99434739,1.971688011,1.976527997,1.971550945
237,1.9706555,1.978096917,1.994431022,1.971434791,1.976535182,1.971239399
238,1.970646169,1.977900221,1.99420223,1.971346941,1.976235376,1.971312601
239,1.970556562,1.977899913,1.994133129,1.971327678,1.97623291,1.97123856
240,1.970521955,1.977833512,1.99414863,1.971398064,1.976417653,1.970729776
241,1.970517714,1.977745399,1.994143221,1.971213755,1.976176114,1.97064773
242,1.970499663,1.97774498,1.99406353,1.971207165,1.976177978,1.970503451
243,1.970535876,1.977692432,1.994100815,1.971206687,1.976328249,1.970458144
244,1.9705353,1.977523198,1.993794185,1.971168931,1.976193317,1.970182886
245,1.970298856,1.977464653,1.993614234,1.971163606,1.975968456,1.970164757
246,1.970171438,1.977499393,1.993543177,1.971324351,1.975652938,1.969852313
247,1.970045146,1.977499036,1.99349683,1.971238053,1.975630748,1.97002673
248,1.969898111,1.977687816,1.993488368,1.971236862,1.975368882,1.969947384
249,1.969874216,1.977722143,1.993412437,1.97120148,1.975126237,1.969638917
250,1.969556167,1.977765355,1.993226451,1.971138021,1.975125487,1.969618553
251,1.96950343,1.977802435,1.992966427,1.971539403,1.974987965,1.969395029
252,1.96938172,1.977706132,1.993032091,1.971158304,1.974685618,1.969122396
253,1.969423461,1.977758897,1.993296102,1.971285125,1.974275922,1.969075484
254,1.969496771,1.977688288,1.993225226,1.971145694,1.974234186,1.969034542
255,1.969496214,1.977545992,1.992871308,1.971101317,1.974410645,1.969033931
256,1.969463327,1.977484639,1.99271744,1.971100455,1.974313265,1.969033253
257,1.969460544,1.97724805,1.992249773,1.970841886,1.974214597,1.968942429
258,1.969178904,1.977181984,1.992071525,1.970373566,1.973960365,1.968910815
259,1.96907084,1.977069609,1.992140697,1.970483795,1.973829362,1.969132323
260,1.969063914,1.977118011,1.991761901,1.970481511,1.973791642,1.969150305
261,1.968954722,1.977117422,1.991742827,1.970471276,1.973388032,1.969146276
262,1.968953819,1.977247035,1.992000951,1.970457138,1.973255395,1.969095283
263,1.968957643,1.976995717,1.991729778,1.970481066,1.973019225,1.969101935
264,1.968871862,1.976936364,1.991444638,1.970423168,1.972862768,1.968978609
