Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
152,97.96000000000001%,97.28%,95.46%,98.02%,97.48%,97.86%,,
153,97.96000000000001%,97.28%,95.46%,98.06%,97.5%,97.88%,,
154,97.96000000000001%,97.28%,95.5%,98.06%,97.54%,97.96000000000001%,,
155,98.0%,97.28%,95.52000000000001%,98.08%,97.54%,98.04%,,
156,98.0%,97.28%,95.52000000000001%,98.08%,97.58%,98.04%,,
157,98.02%,97.34%,95.52000000000001%,98.11999999999999%,97.58%,98.04%,,
158,98.06%,97.36%,95.56%,98.14%,97.64%,98.06%,,
159,98.06%,97.38%,95.58%,98.16%,97.68%,98.06%,,
160,98.06%,97.39999999999999%,95.62%,98.2%,97.7%,98.08%,,
161,98.06%,97.42%,95.62%,98.2%,97.72%,98.08%,,
162,98.06%,97.44%,95.66%,98.2%,97.76%,98.08%,,
163,98.06%,97.5%,95.66%,98.22%,97.76%,98.11999999999999%,,
164,98.06%,97.52%,95.67999999999999%,98.24000000000001%,97.78%,98.14%,,
165,98.06%,97.54%,95.67999999999999%,98.24000000000001%,97.82%,98.14%,,
166,98.08%,97.54%,95.72%,98.24000000000001%,97.86%,98.14%,,
167,98.08%,97.56%,95.72%,98.24000000000001%,97.86%,98.14%,,
168,98.08%,97.58%,95.76%,98.26%,97.86%,98.16%,,
169,98.08%,97.58%,95.78%,98.26%,97.86%,98.2%,,
170,98.08%,97.6%,95.78%,98.26%,97.89999999999999%,98.22%,,
171,98.08%,97.6%,95.8%,98.26%,97.94%,98.22%,,
172,98.08%,97.61999999999999%,95.82000000000001%,98.26%,97.94%,98.24000000000001%,,
173,98.08%,97.61999999999999%,95.82000000000001%,98.3%,97.94%,98.24000000000001%,,
174,98.08%,97.64%,95.84%,98.32%,97.94%,98.26%,,
175,98.08%,97.68%,95.86%,98.32%,97.96000000000001%,98.26%,,
176,98.08%,97.68%,95.86%,98.32%,97.98%,98.26%,,
177,98.1%,97.7%,95.88%,98.32%,98.0%,98.26%,,
178,98.1%,97.7%,95.89999999999999%,98.36%,98.04%,98.28%,,
179,98.1%,97.72%,95.92%,98.36%,98.04%,98.28%,,
180,98.14%,97.76%,95.96000000000001%,98.38%,98.04%,98.28%,,
181,98.18%,97.76%,96.02000000000001%,98.4%,98.06%,98.28%,,
182,98.2%,97.76%,96.02000000000001%,98.4%,98.06%,98.28%,,
183,98.2%,97.76%,96.04%,98.4%,98.08%,98.28%,,
184,98.2%,97.78%,96.06%,98.4%,98.1%,98.32%,,
185,98.22%,97.78%,96.1%,98.4%,98.1%,98.32%,,
186,98.24000000000001%,97.78%,96.12%,98.4%,98.1%,98.32%,,
187,98.26%,97.78%,96.12%,98.4%,98.1%,98.36%,,
188,98.28%,97.84%,96.12%,98.4%,98.1%,98.4%,,
189,98.3%,97.88%,96.12%,98.4%,98.1%,98.42%,,
190,98.32%,97.88%,96.12%,98.4%,98.11999999999999%,98.42%,,
191,98.32%,97.89999999999999%,96.14%,98.42%,98.11999999999999%,98.42%,,
192,98.42%,97.92%,96.17999999999999%,98.44000000000001%,98.11999999999999%,98.46000000000001%,,
193,98.42%,97.92%,96.2%,98.48%,98.11999999999999%,98.46000000000001%,,
194,98.42%,97.92%,96.2%,98.5%,98.11999999999999%,98.5%,,
195,98.42%,97.92%,96.28%,98.5%,98.11999999999999%,98.5%,,
196,98.44000000000001%,97.94%,96.32%,98.5%,98.16%,98.5%,,
197,98.44000000000001%,98.0%,96.32%,98.5%,98.16%,98.5%,,
198,98.48%,98.0%,96.32%,98.5%,98.16%,98.5%,,
199,98.5%,98.02%,96.32%,98.5%,98.18%,98.5%,,
200,98.5%,98.04%,96.36%,98.5%,98.18%,98.52%,,
201,98.52%,98.06%,96.38%,98.5%,98.2%,98.52%,,
202,98.52%,98.06%,96.39999999999999%,98.52%,98.22%,98.54%,,
203,98.52%,98.08%,96.41999999999999%,98.52%,98.22%,98.54%,,
204,98.54%,98.1%,96.46000000000001%,98.52%,98.24000000000001%,98.56%,,
205,98.54%,98.11999999999999%,96.46000000000001%,98.52%,98.26%,98.56%,,
206,98.56%,98.14%,96.5%,98.52%,98.28%,98.56%,,
207,98.56%,98.14%,96.5%,98.52%,98.28%,98.56%,,
208,98.56%,98.14%,96.52%,98.52%,98.28%,98.56%,,
209,98.58%,98.18%,96.52%,98.52%,98.28%,98.56%,,
210,98.6%,98.18%,96.54%,98.52%,98.28%,98.56%,,
211,98.61999999999999%,98.18%,96.54%,98.52%,98.3%,98.56%,,
212,98.61999999999999%,98.18%,96.56%,98.52%,98.3%,98.56%,,
213,98.61999999999999%,98.18%,96.56%,98.54%,98.3%,98.58%,,
214,98.61999999999999%,98.2%,96.56%,98.54%,98.3%,98.58%,,
215,98.66%,98.22%,96.56%,98.54%,98.3%,98.58%,,
216,98.66%,98.22%,96.58%,98.54%,98.3%,98.58%,,
217,98.66%,98.22%,96.6%,98.54%,98.3%,98.6%,,
218,98.66%,98.22%,96.61999999999999%,98.54%,98.3%,98.61999999999999%,,
219,98.66%,98.24000000000001%,96.64%,98.54%,98.3%,98.64%,,
220,98.68%,98.24000000000001%,96.64%,98.54%,98.3%,98.64%,,
221,98.68%,98.24000000000001%,96.7%,98.54%,98.3%,98.64%,,
